Mã sở	Tên sở	Mã cụm thi
01	Sở GDĐT Hà Nội	01
02	Sở GDĐT Hải Phòng	02
03	Sở GDĐT Đà Nẵng	03
04	Sở GDĐT TP. Hồ Chí Minh	04
05	Sở GDĐT Hà Giang	05
06	Sở GDĐT Cao Bằng	06
07	Sở GDĐT Lai Châu	07
08	Sở GDĐT Lào Cai	08
09	Sở GDĐT Tuyên Quang	09
10	Sở GDĐT Lạng Sơn	10
11	Sở GDĐT Bắc Kạn	11
12	Sở GDĐT Thái Nguyên	12
13	Sở GDĐT Yên Bái	13
14	Sở GDĐT Sơn La	14
15	Sở GDĐT Phú Thọ	15
16	Sở GDĐT Vĩnh Phúc	16
17	Sở GDĐT Quảng Ninh	17
18	Sở GDĐT Bắc Giang	18
19	Sở GDĐT Bắc Ninh	19
21	Sở GDĐT Hải Dương	21
22	Sở GDĐT Hưng Yên	22
23	Sở GDĐT Hoà Bình	23
24	Sở GDĐT Hà Nam	24
25	Sở GDĐT Nam Định	25
26	Sở GDĐT Thái Bình	26
27	Sở GDĐT Ninh Bình	27
28	Sở GDĐT Thanh Hoá	28
29	Sở GDĐT Nghệ An	29
30	Sở GDĐT Hà Tĩnh	30
31	Sở GDĐT Quảng Bình	31
32	Sở GDĐT Quảng Trị	32
33	Sở GDĐT Thừa Thiên - Huế	33
34	Sở GDĐT Quảng Nam	34
35	Sở GDĐT Quảng Ngãi	35
36	Sở GDĐT Kon Tum	36
37	Sở GDĐT Bình Định	37
38	Sở GDĐT Gia Lai	38
39	Sở GDĐT Phú Yên	39
40	Sở GDĐT Đắk Lắk	40
41	Sở GDĐT Khánh Hoà	41
42	Sở GDĐT Lâm Đồng	42
43	Sở GDĐT Bình Phước	43
44	Sở GDĐT Bình Dương	44
45	Sở GDĐT Ninh Thuận	45
46	Sở GDĐT Tây Ninh	46
47	Sở GDĐT Bình Thuận	47
48	Sở GDĐT Đồng Nai	48
49	Sở GDĐT Long An	49
50	Sở GDĐT Đồng Tháp	50
51	Sở GDĐT An Giang	51
52	Sở GDĐT Bà Rịa-Vũng Tàu	52
53	Sở GDĐT Tiền Giang	53
54	Sở GDĐT Kiên Giang	54
55	Sở GDĐT Cần Thơ	55
56	Sở GDĐT Bến Tre	56
57	Sở GDĐT Vĩnh Long	57
58	Sở GDĐT Trà Vinh	58
59	Sở GDĐT Sóc Trăng	59
60	Sở GD KHCN Bạc Liêu	60
61	Sở GDĐT Cà Mau	61
62	Sở GDĐT Điện Biên	62
63	Sở GDĐT Đăk Nông	63
64	Sở GDĐT Hậu Giang	64
65	Cục Nhà trường - Bộ Quốc phòng	65
